"Csf-1"	"Csf-2"	"Csf-3"	"Csf-4"	"Csf-5"
-5.0716	-3.7628	1.39269	-1.00944	1.39269
-14.96549	-6.2238	0.27784	-1.33382	0.27784
-2.63024	-1.5069	-1.80951	-0.23221	-1.80951
-8.3416	-3.4227	-2.28669	-0.3078	-2.28669
-4.93224	-3.4217	-2.09945	-1.12777	-2.09945
-5.5587	-3.8501	-2.17431	-0.20803	-2.17431
-4.32155	-2.782	-1.66992	-0.90383	-1.66992
-4.32164	-2.5683	-2.13665	-0.35759	-2.13665
-4.81809	-0.8532	-3.7692	-2.03914	-3.7692
-4.91633	-3.2885	-3.02941	1.75163	-2.9385
-43.04544	-11.83	-1.61794	-0.63934	-1.61794
-15.74411	-10.9154	-0.90885	-0.46625	-0.90885
-13.07645	-10.2505	-1.31701	-1.65301	-0.32286
-19.17304	-10.454	-0.67822	-1.75545	-0.67822
-12.99133	-8.8529	-1.21818	0.84895	-0.31114
-6.08845	-2.9367	-1.76008	-1.71092	-1.76008
-8.86234	-5.1202	-0.25103	0.42125	-0.25103
-9.11551	-4.6591	-2.56192	-1.21747	-2.56192
-7.97075	-5.9255	-1.3611	-0.61049	-1.65666
-6.35231	-3.6619	-0.43518	0.57219	-0.43518
-7.77524	-3.3101	-2.49543	-0.9273	-2.58671
-8.3656	-5.0229	-0.86304	-1.74631	-0.86304
-5.00191	-4.9944	-3.21067	-0.51013	-1.09551
-8.50756	-3.4623	-3.40207	-2.10367	-3.40207
-10.18998	-4.691	-1.70183	0.2049	-1.70183
-9.45997	-4.1003	-2.49674	-0.02984	-2.49674
-7.02192	-3.6514	-0.52434	1.72943	-0.52434
-8.40476	-4.75	-3.97463	-0.89096	-3.07377
-7.89655	-6.1537	-3.09929	-0.59588	-3.09929
-5.37349	-3.7625	-2.23121	-2.11443	-2.23121
-7.66146	-4.1992	-2.56906	-1.70036	-2.29415
-8.9029	-5.958	-1.19031	-1.27594	1.42325
-6.55675	-3.0887	-1.9253	-1.0012	-2.17147
-6.72561	-3.6331	-2.11363	-2.13972	-2.11363
-5.94841	-5.6881	-1.09184	0.0423	-1.36824
-8.93818	-5.8676	-1.01579	-2.3596	-1.72511
-8.85845	-5.3758	-1.91548	-0.69224	-1.91548
-7.36666	-6.4435	-0.4443	-0.51899	-1.10966
-6.26112	-3.5679	-0.50047	-0.10389	0.20525
-7.64524	-4.543	-2.66903	-1.49044	-2.66903
-7.37309	-4.9729	-3.56287	-0.78753	-3.56287
-5.02142	-3.63	-1.4123	-0.44993	-1.4123
-12.43453	-5.4966	-1.93356	-0.10786	-1.93356
-7.41256	-4.7417	-2.78353	0.62577	-2.78353
-8.17841	-5.2615	-1.51088	-0.524	-1.51088
-7.57645	-4.1762	-2.47511	-2.11681	-2.47511
-5.12847	-3.428	-2.17202	-0.78465	-1.93527
-5.59722	-3.6509	-3.29487	0.22373	-2.03372
-8.26059	-3.441	-2.02249	1.3	-1.68415
-10.04019	-4.136	-1.31011	1.59309	-1.31011
-6.15725	-5.2522	-1.21724	-1.98512	-1.21724
-4.54081	-3.1802	-1.94413	-1.57216	-1.94413
-5.45767	-4.5519	-2.73817	-1.87507	-2.73817
-7.20576	-5.0267	-0.78159	-1.47014	-0.78159
-8.46386	-4.4785	-0.96189	1.03981	0.02072
-4.26892	-2.5556	-2.08044	-0.55482	-2.08044
-5.69648	-4.8819	-1.4445	-0.1134	-1.4445
-9.6119	-4.064	-4.35448	0.37478	-4.35448
-7.98049	-5.4882	0.21669	-0.49231	0.21669
-6.76618	-4.7703	-3.20346	-0.22857	-3.20346
-5.49159	-3.8183	-2.05204	-1.09761	-2.05204
-3.50585	-3.6149	-2.13427	1.84593	-2.13427
-7.64975	-5.48	0.53819	-0.11321	0.53819
-7.39647	-4.2903	-2.04564	-0.66332	-2.04564
-6.1711	-3.7892	-2.30135	-0.27977	-2.05856
-8.65293	-4.1252	-0.83745	0.27376	-2.40433
-13.47141	-4.2041	-1.8039	-1.92344	-1.58689
